gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
3,2425,Gameweek 3,2024-08-31 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
4,2425,Gameweek 4,2024-09-14 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
5,2425,Gameweek 5,2024-09-21 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
6,2425,Gameweek 6,2024-09-30 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
7,2425,Gameweek 7,2024-10-05 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
8,2425,Gameweek 8,2024-10-19 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
9,2425,Gameweek 9,2024-10-26 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
10,2425,Gameweek 10,2024-11-02 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
11,2425,Gameweek 11,2024-11-09 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
12,2425,Gameweek 12,2024-11-23 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
13,2425,Gameweek 13,2024-11-30 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
14,2425,Gameweek 14,2024-12-05 20:15:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
15,2425,Gameweek 15,2024-12-08 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
16,2425,Gameweek 16,2024-12-16 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
17,2425,Gameweek 17,2024-12-22 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
18,2425,Gameweek 18,2024-12-26 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
19,2425,Gameweek 19,2024-12-29 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
20,2425,Gameweek 20,2025-01-04 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
21,2425,Gameweek 21,2025-01-16 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
22,2425,Gameweek 22,2025-01-19 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
23,2425,Gameweek 23,2025-01-25 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
24,2425,Gameweek 24,2025-02-01 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
25,2425,Gameweek 25,2025-02-15 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
26,2425,Gameweek 26,2025-02-22 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
27,2425,Gameweek 27,2025-02-25 20:15:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
28,2425,Gameweek 28,2025-03-08 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
29,2425,Gameweek 29,2025-03-15 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
30,2425,Gameweek 30,2025-04-02 18:45:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
31,2425,Gameweek 31,2025-04-06 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
32,2425,Gameweek 32,2025-04-12 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
33,2425,Gameweek 33,2025-04-19 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
34,2425,Gameweek 34,2025-04-26 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
35,2425,Gameweek 35,2025-05-03 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
36,2425,Gameweek 36,2025-05-10 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
37,2425,Gameweek 37,2025-05-18 11:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
38,2425,Gameweek 38,2025-05-25 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
